"Peak
Retention
Time",RRT (ISTD),"Peak Area
Percent",Area,Height,Compound,Compound Amount,Units,id,excel sheet,page number
7.752,0.288,21.24,1.9623,0.1310,CIPRO,0.2088,mg/mL,R5 BLANK,EC-21-013-DOE5678.xlsx,2
8.486,0.315,27.37,2.5290,0.2675,,0,mg/mL,R5 BLANK,EC-21-013-DOE5678.xlsx,2
26.936,1.00,7.39,0.68266,0.07148,R2/R3,0.0001933,mg/mL,R5 BLANK,EC-21-013-DOE5678.xlsx,2
29.928,1.11,44.01,4.0666,0.4274,,0,mg/mL,R5 BLANK,EC-21-013-DOE5678.xlsx,2
2.483,0.306,38.17,7.6096,1.727,,0,mg/mL,CIP BLANK,LT-21-027-REAL2021-05-0708-54-38.XLSX,2
8.114,1.00,8.35,1.6655,0.2970,CIPRO,0.1313,mg/mL,CIP BLANK,LT-21-027-REAL2021-05-0708-54-38.XLSX,2
23.303,2.87,37.88,7.5527,1.023,,0,mg/mL,CIP BLANK,LT-21-027-REAL2021-05-0708-54-38.XLSX,2
29.878,3.68,15.6,3.1092,0.3135,,0,mg/mL,CIP BLANK,LT-21-027-REAL2021-05-0708-54-38.XLSX,2
4.314,0.532,0.04,1.0500,0.2392,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
5.886,0.726,0.08,2.3200,0.4168,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
7.634,0.942,0.01,0.38606,0.07220,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
8.108,1.00,98.71,2695.4,461.1,CIPRO,212.4,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
8.637,1.07,0.04,1.0520,0.1273,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
9.179,1.13,0.05,1.2800,0.1665,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
9.641,1.19,0.02,0.65530,0.07294,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
14.989,1.85,0.05,1.4624,0.1682,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
15.443,1.90,0.07,1.9764,0.1727,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
19.11,2.36,0.07,1.9443,0.2454,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
22.087,2.72,0.04,1.2003,0.1680,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
22.478,2.77,0.05,1.3842,0.1883,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
28.579,3.52,0.76,20.624,2.126,,0,mg/mL,LT-21-027-CIP-WET-CAKE-B,LT-21-027-REAL2021-05-0708-54-38.XLSX,4
5.888,0.751,0.07,3.4541,0.6658,,0,mg/mL,NTR-21-006-S1,LT-21-027-REAL2021-05-0708-54-38.XLSX,6
7.152,0.912,0.26,13.088,1.665,,0,mg/mL,NTR-21-006-S1,LT-21-027-REAL2021-05-0708-54-38.XLSX,6
7.842,1.00,0.05,2.5630,0.4003,CIPRO,0.2020,mg/mL,NTR-21-006-S1,LT-21-027-REAL2021-05-0708-54-38.XLSX,6
8.098,1.03,99.51,5046.9,849.3,,0,mg/mL,NTR-21-006-S1,LT-21-027-REAL2021-05-0708-54-38.XLSX,6
10.574,1.35,0.05,2.4463,0.3939,,0,mg/mL,NTR-21-006-S1,LT-21-027-REAL2021-05-0708-54-38.XLSX,6
14.292,1.82,0.02,1.2511,0.1762,,0,mg/mL,NTR-21-006-S1,LT-21-027-REAL2021-05-0708-54-38.XLSX,6
17.288,2.20,0.04,1.8978,0.2866,,0,mg/mL,NTR-21-006-S1,LT-21-027-REAL2021-05-0708-54-38.XLSX,6
