"Peak
Retention
Time",RRT (ISTD),"Peak Area
Percent",Area,Height,Compound,Compound Amount,Units,id,excel sheet,page number
8.076,0.9970370370370372,31.57,1.1258,0.1858,CIPRO,0.1198,mg/mL,R5 BLANK EC-21-014-DoE91011.xlsx 1,EC-21-014-DoE91011.xlsx,2
29.935,3.695679012345679,68.43,2.4400,0.2283,,0,mg/mL,R5 BLANK EC-21-014-DoE91011.xlsx 1,EC-21-014-DoE91011.xlsx,2
5.835,0.7203703703703704,0.07,3.2938,0.5944,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
7.105,0.8771604938271605,0.35,16.409,1.824,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
8.057,0.9946913580246914,99.49,4622.3,749.3,CIPRO,0.2080,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
14.255,1.7598765432098766,0.02,1.1020,0.1413,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
29.933,3.695432098765432,0.06,2.8051,0.2869,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
2.386,0.29456790123456794,0.48,1.6215,0.5008,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
7.048,0.8701234567901235,0.2,0.67528,0.1200,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
8.076,0.9970370370370372,6.94,23.413,3.844,CIPRO,0.001054,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
14.353,1.7719753086419754,1.45,4.8919,0.5958,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
14.818,1.8293827160493827,0.12,0.41173,0.05357,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
15.398,1.9009876543209876,17.65,59.571,7.510,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
16.9,2.0864197530864197,0.96,3.2257,0.3708,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
19.061,2.35320987654321,52.86,178.36,22.18,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
20.522,2.53358024691358,2.73,9.2254,1.041,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
22.134,2.7325925925925927,0.45,1.5090,0.1350,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
22.526,2.7809876543209877,15.04,50.761,6.529,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
26.746,3.301975308641975,0.19,0.63821,0.09213,R2/R3,0.0001807,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
29.109,3.5937037037037043,0.11,0.36307,0.05493,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
29.932,3.6953086419753087,0.82,2.7577,0.2731,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
2.387,0.2946913580246914,0.32,1.4578,0.4776,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
7.05,0.8703703703703703,0.17,0.78860,0.1164,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
8.074,0.9967901234567902,12.75,57.949,9.498,CIPRO,0.002608,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
12.73,1.571604938271605,0.21,0.95282,0.1139,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
14.35,1.771604938271605,1.19,5.3976,0.6537,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
15.397,1.9008641975308642,27.62,125.52,15.78,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
15.781,1.9482716049382718,0.26,1.1849,0.1220,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
16.9,2.0864197530864197,0.6,2.7315,0.2947,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
18.252,2.2533333333333334,0.11,0.48028,0.06005,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
19.062,2.3533333333333335,32.32,146.84,18.12,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
20.522,2.53358024691358,1.15,5.2046,0.5142,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
