"Peak
Retention
Time",RRT (ISTD),"Peak Area
Percent",Area,Height,Compound,Compound Amount,Units,id,excel sheet,page number
8.076,1.00,31.57,1.1258,0.1858,CIPRO,0.1198,mg/mL,R5 BLANK,EC-21-014-DoE91011.xlsx,2
29.935,3.71,68.43,2.4400,0.2283,,0,mg/mL,R5 BLANK,EC-21-014-DoE91011.xlsx,2
5.835,0.724,0.07,3.2938,0.5944,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
7.105,0.882,0.35,16.409,1.824,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
8.057,1.00,99.49,4622.3,749.3,CIPRO,0.2080,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
14.255,1.77,0.02,1.1020,0.1413,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
29.933,3.72,0.06,2.8051,0.2869,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,4
2.386,0.0892,0.48,1.6215,0.5008,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
7.048,0.264,0.2,0.67528,0.1200,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
8.076,0.302,6.94,23.413,3.844,CIPRO,0.001054,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
14.353,0.537,1.45,4.8919,0.5958,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
14.818,0.554,0.12,0.41173,0.05357,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
15.398,0.576,17.65,59.571,7.510,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
16.9,0.632,0.96,3.2257,0.3708,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
19.061,0.713,52.86,178.36,22.18,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
20.522,0.767,2.73,9.2254,1.041,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
22.134,0.828,0.45,1.5090,0.1350,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
22.526,0.842,15.04,50.761,6.529,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
26.746,1.00,0.19,0.63821,0.09213,R2/R3,0.0001807,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
29.109,1.09,0.11,0.36307,0.05493,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
29.932,1.12,0.82,2.7577,0.2731,,0,mg/mL,EC-21-014-DOE9-R4-T5,EC-21-014-DoE91011.xlsx,6
2.387,0.0892,0.32,1.4578,0.4776,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
7.05,0.264,0.17,0.78860,0.1164,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
8.074,0.302,12.75,57.949,9.498,CIPRO,0.002608,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
12.73,0.476,0.21,0.95282,0.1139,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
14.35,0.536,1.19,5.3976,0.6537,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
15.397,0.576,27.62,125.52,15.78,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
15.781,0.590,0.26,1.1849,0.1220,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
16.9,0.632,0.6,2.7315,0.2947,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
18.252,0.682,0.11,0.48028,0.06005,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
19.062,0.713,32.32,146.84,18.12,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
20.522,0.767,1.15,5.2046,0.5142,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
22.141,0.828,0.32,1.4629,0.1542,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
22.528,0.842,21.79,99.008,12.68,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
23.378,0.874,0.12,0.56332,0.07977,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
26.753,1.00,0.28,1.2916,0.1284,R2/R3,0.0003658,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
29.109,1.09,0.2,0.89031,0.1220,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
29.932,1.12,0.59,2.6770,0.2743,,0,mg/mL,EC-21-014-DOE9-R4-T15,EC-21-014-DoE91011.xlsx,8
2.384,0.0891,0.3,1.6066,0.5059,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
5.823,0.218,0.08,0.45685,0.09526,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
7.047,0.263,0.16,0.87487,0.1425,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
8.074,0.302,18.24,98.271,16.12,CIPRO,0.004422,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
8.617,0.322,0.12,0.63271,0.1075,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
9.778,0.366,0.08,0.44705,0.06777,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
10.201,0.381,0.11,0.58874,0.07097,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
12.727,0.476,0.23,1.2273,0.1579,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
14.351,0.537,1.06,5.6857,0.6831,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
15.398,0.576,29.37,158.19,19.80,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
15.779,0.590,0.29,1.5885,0.1936,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
16.901,0.632,0.48,2.5647,0.2667,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
18.256,0.683,0.1,0.54957,0.07669,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
19.061,0.713,24.26,130.68,16.06,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
20.353,0.761,0.23,1.2445,0.1551,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
20.519,0.767,0.32,1.7014,0.2035,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
20.738,0.775,0.28,1.4898,0.1880,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
22.14,0.828,0.22,1.1926,0.1605,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
22.526,0.842,23.01,123.96,15.86,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
23.374,0.874,0.15,0.82997,0.1142,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
23.919,0.894,0.06,0.32857,0.05261,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
26.747,1.00,0.13,0.67729,0.09879,R2/R3,0.0001918,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
29.104,1.09,0.21,1.1354,0.1541,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
29.936,1.12,0.5,2.7201,0.2734,,0,mg/mL,EC-21-014-DOE9-R4-T30,EC-21-014-DoE91011.xlsx,10
2.385,0.0892,0.31,1.4964,0.4870,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
5.822,0.218,0.1,0.50657,0.09045,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
7.054,0.264,0.22,1.0928,0.1534,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
8.077,0.302,18.32,89.334,14.71,CIPRO,0.004020,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
8.62,0.322,0.17,0.81306,0.1316,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
10.208,0.382,0.13,0.64605,0.07709,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
12.73,0.476,0.24,1.1863,0.1513,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
14.353,0.537,1,4.8852,0.5750,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
15.399,0.576,31.49,153.54,18.74,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
15.778,0.590,0.3,1.4479,0.1775,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
16.903,0.632,0.53,2.6014,0.2441,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
18.26,0.683,0.11,0.53871,0.06705,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
18.716,0.700,0.12,0.56555,0.07295,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
19.063,0.713,21.33,104.02,12.77,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
20.359,0.761,0.18,0.88893,0.1242,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
20.522,0.767,0.25,1.2053,0.1560,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
21.261,0.795,0.16,0.77944,0.08515,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
22.146,0.828,0.23,1.1176,0.1440,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
22.528,0.842,23.56,114.88,14.75,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
23.376,0.874,0.16,0.79721,0.1033,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
23.93,0.895,0.08,0.38296,0.04970,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
26.741,1.00,0.23,1.1326,0.1158,R2/R3,0.0003207,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
29.11,1.09,0.21,1.0094,0.1313,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
29.936,1.12,0.56,2.7409,0.2738,,0,mg/mL,EC-21-014-DOE9-R5-T2,EC-21-014-DoE91011.xlsx,12
2.385,0.0892,0.33,1.5827,0.4945,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
5.827,0.218,0.08,0.40026,0.07443,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
7.052,0.264,0.22,1.0262,0.1343,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
8.077,0.302,18.35,87.003,14.23,CIPRO,0.003915,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
8.623,0.322,0.24,1.1334,0.1809,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
9.769,0.365,0.16,0.73844,0.1029,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
10.208,0.382,0.15,0.72870,0.07439,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
12.73,0.476,0.26,1.2305,0.1601,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
14.353,0.537,0.96,4.5365,0.5506,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
15.401,0.576,33.58,159.25,19.71,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
15.78,0.590,0.36,1.7300,0.1971,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
16.903,0.632,0.51,2.4005,0.2353,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
18.258,0.683,0.1,0.46876,0.06197,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
19.064,0.713,18.39,87.226,10.57,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
20.359,0.761,0.23,1.1057,0.1349,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
20.521,0.767,0.27,1.2735,0.1527,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
20.741,0.775,0.37,1.7778,0.2103,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
21.259,0.795,0.17,0.82062,0.09229,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
22.146,0.828,0.22,1.0381,0.1335,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
22.53,0.842,24.05,114.04,14.60,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
23.374,0.874,0.14,0.67060,0.08847,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
26.745,1.00,0.13,0.61186,0.07853,R2/R3,0.0001733,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
29.111,1.09,0.18,0.86697,0.1112,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
29.938,1.12,0.54,2.5589,0.2698,,0,mg/mL,EC-21-014-DOE9-R5-T4,EC-21-014-DoE91011.xlsx,14
2.385,0.0892,0.31,1.5652,0.4908,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
5.823,0.218,0.11,0.56751,0.08931,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
7.052,0.264,0.17,0.83857,0.1356,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
