"Peak
Retention
Time",RRT (ISTD),"Peak
Area
Percent",Area,Height,Compound,Compound Amount,id,excel_sheet
2.09335,0.15660953,0.010206329,0.006001256,0.110643271,,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
2.27335,0.170075848,0.051295864,0.030161642,0.636517071,,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
2.506683333,0.187532185,0.093497137,0.054975723,1.206216063,,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
3.850016667,0.288030813,0.125375296,0.073719878,0.863684079,Cis Acid,0.000805882,JJS-21-017-FILTER-AVG,JJS-21-017
5.42335,0.405736402,0.277634507,0.163247328,1.458424253,,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
7.946683333,0.594514221,0.215464226,0.126691597,1.099553623,Cis Mono Ester,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
10.26335,0.767830713,0.012362332,0.007268973,0.069032449,,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
11.49668333,0.860099925,0.011635481,0.006841589,0.053765815,,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
13.08668333,0.979052395,0.087794255,0.051622465,0.514861082,Cis/Trans Atracurium,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
13.36668333,1,97.99396899,57.61983169,577.5440244,Cis,0.50109686,JJS-21-017-FILTER-AVG,JJS-21-017
15.28001667,1.143141966,0.255946884,0.150495143,0.914179125,cis-monoacrylate,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
16.21668333,1.213216692,0.864818698,0.508507904,0.366067839,,n.a.,JJS-21-017-FILTER-AVG,JJS-21-017
2.270066667,0.169829577,0.050871454,0.03026987,0.640985091,,n.a.,JJS-21-017-PF4,JJS-21-017
2.510066667,0.1877846,0.091849443,0.054652865,1.196580097,,n.a.,JJS-21-017-PF4,JJS-21-017
3.850066667,0.288033476,0.120618693,0.071771334,0.858825237,Cis Acid,0.000784581,JJS-21-017-PF4,JJS-21-017
5.4234,0.405738625,0.284298849,0.169165386,1.500861686,,n.a.,JJS-21-017-PF4,JJS-21-017
7.946733333,0.594515738,0.206897433,0.123109482,1.097606967,Cis Mono Ester,n.a.,JJS-21-017-PF4,JJS-21-017
10.2634,0.767831582,0.010050503,0.005980317,0.059028877,,n.a.,JJS-21-017-PF4,JJS-21-017
11.49673333,0.860100448,0.011760539,0.006997834,0.049104963,,n.a.,JJS-21-017-PF4,JJS-21-017
13.08673333,0.979052474,0.089316055,0.053145431,0.538382822,Cis/Trans Atracurium,n.a.,JJS-21-017-PF4,JJS-21-017
13.36673333,1,98.00760289,58.31713368,582.4140855,Cis,0.50716102,JJS-21-017-PF4,JJS-21-017
15.27673333,1.142892055,0.247283029,0.147139987,0.921065155,cis-monoacrylate,n.a.,JJS-21-017-PF4,JJS-21-017
16.2334,1.214462771,0.879451109,0.52329683,0.374232372,,n.a.,JJS-21-017-PF4,JJS-21-017
2.27,0.17042042,0.050830692,0.074145951,1.54315727,,n.a.,JJS-21-017-M4,JJS-21-017
2.506666667,0.188188188,0.038062158,0.055520687,1.212670469,,n.a.,JJS-21-017-M4,JJS-21-017
3.853333333,0.289289289,0.216377764,0.315626928,3.751541146,Cis Acid,0.003450331,JJS-21-017-M4,JJS-21-017
5.426666667,0.407407407,0.336130419,0.49030829,4.371716312,,n.a.,JJS-21-017-M4,JJS-21-017
7.953333333,0.597097097,0.307219233,0.448135985,3.962078902,Cis Mono Ester,n.a.,JJS-21-017-M4,JJS-21-017
10.26,0.77027027,0.011326762,0.016522175,0.145820158,,n.a.,JJS-21-017-M4,JJS-21-017
11.5,0.863363363,0.009676207,0.014114535,0.112999162,,n.a.,JJS-21-017-M4,JJS-21-017
13.08666667,0.982482482,0.081735285,0.119226008,1.275739028,Cis/Trans Atracurium,n.a.,JJS-21-017-M4,JJS-21-017
13.32,1,98.3939209,143.5257042,1224.918963,Cis,1.248186217,JJS-21-017-M4,JJS-21-017
15.28666667,1.147647648,0.207057162,0.302031109,2.41523423,cis-monoacrylate,n.a.,JJS-21-017-M4,JJS-21-017
16.40333333,1.231481481,0.347663417,0.507131297,0.368078742,,n.a.,JJS-21-017-M4,JJS-21-017
2.093383333,0.156611634,0.010791606,0.006403867,0.121918948,,n.a.,JJS-21-017-FILTEREND,JJS-21-017
2.273383333,0.170077917,0.05152297,0.030574342,0.638214251,,n.a.,JJS-21-017-FILTEREND,JJS-21-017
2.506716667,0.187534211,0.091932443,0.054553803,1.19285565,,n.a.,JJS-21-017-FILTEREND,JJS-21-017
3.85005,0.288032588,0.12510634,0.074239587,0.891119775,Cis Acid,0.000811563,JJS-21-017-FILTEREND,JJS-21-017
5.42005,0.405488508,0.279541285,0.165883118,1.47943394,,n.a.,JJS-21-017-FILTEREND,JJS-21-017
7.943383333,0.594265857,0.210762394,0.125068907,1.113265288,Cis Mono Ester,n.a.,JJS-21-017-FILTEREND,JJS-21-017
10.25671667,0.767332541,0.010080102,0.005981652,0.06377697,,n.a.,JJS-21-017-FILTEREND,JJS-21-017
13.09005,0.979301823,0.088150321,0.052309447,0.519236357,Cis/Trans Atracurium,n.a.,JJS-21-017-FILTEREND,JJS-21-017
13.36671667,1,98.01994757,58.16620082,583.7853806,Cis,0.505848416,JJS-21-017-FILTEREND,JJS-21-017
15.28005,1.143141609,0.249185344,0.147869542,0.91397774,cis-monoacrylate,n.a.,JJS-21-017-FILTEREND,JJS-21-017
16.36671667,1.224438063,0.86297963,0.51210236,0.373154381,,n.a.,JJS-21-017-FILTEREND,JJS-21-017
