,0.223,0.457,1.0,1.059,1.278,9.132,11.699,Total LCAP
JJS-21-019-FillAll,0.0,0.05465005323449181,99.88722921698565,0.0,0.058120729779876285,0.0,0.0,100.00000000000001
JJS-21-019-Filter,0.0,0.0,0.0,0.0,0.0,99.93636139466663,0.06363860533336962,100.0
JJS-21-019-M1,0.06014630527298945,0.0,99.87951167829777,0.0,0.0603420164292421,0.0,0.0,100.00000000000001
JJS-21-019-M2,0.0,0.0,99.94234339996984,0.0,0.057656600030162215,0.0,0.0,100.0
JJS-21-019-M3,0.05167962375574652,0.05561826596898707,99.79899201716604,0.037433192568225984,0.056276900541024695,0.0,0.0,100.00000000000003
JJS-21-019-M4,0.0,0.052822457865719284,99.908237723316,0.03893981881828678,0.0,0.0,0.0,100.00000000000001
JJS-21-019-M5,0.0,0.0524013461004529,99.89366093876451,0.0,0.05393771513503396,0.0,0.0,100.0
JJS-21-019-PF1,0.05283758231850472,0.05211346492332256,99.83657761812172,0.0,0.0584713346364649,0.0,0.0,100.00000000000001
JJS-21-019-PF2,0.051508717095272286,0.053960249279225464,99.80063055390237,0.0404588475292476,0.053441632193902106,0.0,0.0,100.00000000000003
JJS-21-019-PF3,0.03998897555040947,0.0527752881807304,99.823168328181,0.038514533242117614,0.04555287484571833,0.0,0.0,99.99999999999997
JJS-21-019-PF4,0.05539791852370158,0.05124214792389142,99.83906269287004,0.0,0.05429724068236967,0.0,0.0,100.00000000000001
JJS-21-019-PF5,0.0,0.05316641897050205,99.9468335810295,0.0,0.0,0.0,0.0,100.0
JJS-21-019-S1,0.04255570324218578,0.053326474698188485,99.81844128330229,0.03713705962925345,0.04853947912809413,0.0,0.0,100.00000000000001
JJS-21-019-S2,0.042571348183637406,0.05392185398699582,99.81784590694973,0.03744658518130156,0.048214305698336415,0.0,0.0,100.0
JJS-21-019-S3,0.0,0.054382999358859534,99.94561700064114,0.0,0.0,0.0,0.0,100.0
JJS-21-019-S4,0.0,0.05397301476359359,99.89179938343037,0.0,0.054227601806040686,0.0,0.0,100.00000000000001
JJS-21-019-S5,0.0,0.05257246965801577,99.94742753034198,0.0,0.0,0.0,0.0,100.0
